year,arson,arson_rate,violent,violent_rate,larceny,larceny_rate,pop,pop_delta,pop_delta_pct,total_jobs,manu_jobs,manu_delta,manu_delta_pct,manu_delta5,manu_delta_pct5
1980,450,99.82475210186563,10983,2436.3894496328667,39402,8740.655294039352,450790,-54661,-10.814302474423831,412112,89308,-7666,-7.905211706230536,-7275,-7.5323814750007765
1981,443,97.54142758374691,10364,2281.985001078901,38441,8464.085818841568,454166,3376,0.7489074735464407,381294,78598,-10710,-11.992206745196398,-16571,-17.41218253843163
1982,364,79.93640224700349,10069,2211.207786332632,37817,8304.821219161899,455362,1196,0.26333983609517225,350766,70296,-8302,-10.562609735616682,-26613,-27.46184564901093
1983,315,68.88829598785816,8461,1850.3614995341838,32167,7034.697831877566,457262,1900,0.41725045128930394,338102,64934,-5362,-7.627745533174007,-33123,-33.779332429097366
1984,396,89.48586304143467,7729,1746.5561501193145,29359,6634.382457155254,442528,-14734,-3.2222227082066732,344448,65247,313,0.48202790525764627,-31727,-32.717016932373625
1985,427,99.04687677594298,8642,2004.597445193675,30109,6984.080592147229,431109,-11419,-2.5804016920963195,336315,62312,-2935,-4.49829110916977,-26996,-30.227975097415683
1986,533,122.72679128156243,9889,2277.0079530644857,32102,7391.698787468512,434298,3189,0.7397201171861408,340452,60649,-1663,-2.6688278341250484,-17949,-22.83645894297565
1987,563,131.10890655637684,9778,2277.0566399791346,36130,8413.79181861793,429414,-4884,-1.1245734495668873,329980,52718,-7931,-13.076885026958399,-17578,-25.005690224194833
1988,657,154.52024638570794,10481,2465.0330325245127,37520,8824.352578982895,425187,-4227,-0.9843647389232768,319870,49703,-3015,-5.719109222656398,-15231,-23.45612468044476
1989,601,148.37088276972148,12644,3121.466625191944,39821,9830.743631901962,405066,-20121,-4.732270742049969,320363,49097,-606,-1.2192422992575902,-16150,-24.752095881802994
