cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2009,01/04/2009 16:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5308,MAPLE AVE,885118.9,1029008
2009,01/05/2009 01:05,82000,ARSON-2ND DEGREE/SUCCESS,1700,N 20TH ST,904639.2,1024058
2009,01/05/2009 23:15,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4085,W IOWA AVE,896917.8,1000702
2009,01/07/2009 13:00,81000,ARSON-1ST DEGREE/SUCCESS,3836,NATURAL BRIDGE AVE,899611.2,1030255
2009,01/10/2009 20:00,81000,ARSON-1ST DEGREE/SUCCESS,4212,RED BUD AVE,898085.2,1034167
2009,01/11/2009 04:43,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3863,S SPRING AVE,892136.8,1002911
2009,01/12/2009 04:50,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4922,WREN AVE,889712.5,1042427
2009,01/13/2009 13:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4202,W COOK AVE,893636.5,1025991
2009,01/15/2009 04:07,83000,ARSON-KNOWINGLY BURNING/SUCCESS,854,NASSAU DR,896979.5,1052125
2009,01/15/2009 04:25,83000,ARSON-KNOWINGLY BURNING/SUCCESS,866,NASSAU DR,896857.1,1052141
2009,01/15/2009 09:20,85000,ARSON-NEGLIGENTLY BURNING,4501,FAIR AVE,899186.5,1034599
2009,01/16/2009 23:15,82000,ARSON-2ND DEGREE/SUCCESS,3927,S GRAND BLVD,893007.2,1002143
2009,01/18/2009 11:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,8658,S BROADWAY,886948.7,985125.4
2009,01/18/2009 22:04,81100,ARSON-1ST DEGREE/ATTEMPT,5413,BEACON AVE,892404.4,1042895
2009,01/22/2009 12:20,81000,ARSON-1ST DEGREE/SUCCESS,3836,NATURAL BRIDGE AVE,899611.2,1030255
2009,01/23/2009 03:00,82000,ARSON-2ND DEGREE/SUCCESS,7004,NOTTINGHAM AVE,872288.4,1003338
2009,01/24/2009 10:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,400,E CARRIE AVE,901767.5,1039392
2009,01/24/2009 14:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3548,VICTOR ST,894619.6,1010696
2009,01/27/2009 14:15,83000,ARSON-KNOWINGLY BURNING/SUCCESS,6923,PERNOD AVE,874735.5,1006883
2009,01/29/2009 08:35,84000,ARSON-RECKLESSLY BURNING,1224,GRATTAN ST,903541.7,1013677
2009,01/30/2009 12:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,7800,ALASKA AVE,886718.1,989428.2
2009,01/31/2009 19:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3338,ARLINGTON AVE,888142.4,1036050
2009,02/02/2009 16:25,82000,ARSON-2ND DEGREE/SUCCESS,5209,GENEVIEVE AVE,891476.9,1042642
2009,02/03/2009 03:20,83000,ARSON-KNOWINGLY BURNING/SUCCESS,862,NASSAU DR,896901.6,1052135
2009,02/08/2009 06:05,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4901,GERALDINE AVE,891901.1,1039768
2009,02/11/2009 01:00,82000,ARSON-2ND DEGREE/SUCCESS,5532,GILMORE AVE,892209.8,1045036
2009,02/12/2009 00:47,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4202,GANO AVE,901464.1,1032187
2009,02/14/2009 03:00,82000,ARSON-2ND DEGREE/SUCCESS,3810,GRAVOIS AVE,891754.3,1004254
2009,02/14/2009 22:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5941,WELLS AVE,881757,1033950
2009,02/17/2009 00:25,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5303,CLAXTON AVE,892892.8,1041265
2009,02/19/2009 08:20,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3246,S COMPTON AVE,895632.9,1006278
2009,02/20/2009 10:24,81000,ARSON-1ST DEGREE/SUCCESS,1224,GRATTAN ST,903541.7,1013677
2009,02/22/2009 02:31,81000,ARSON-1ST DEGREE/SUCCESS,1350,UNION BLVD,885760.1,1030051
2009,02/22/2009 15:15,83000,ARSON-KNOWINGLY BURNING/SUCCESS,2201,S JEFFERSON AVE,899686.5,1010844
2009,02/23/2009 10:25,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4220,DEWEY AVE,892450.9,1000702
2009,02/23/2009 12:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3836,NATURAL BRIDGE AVE,899611.2,1030255
2009,02/23/2009 22:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4127,S COMPTON AVE,894553.2,1000651
2009,02/26/2009 08:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5225,NORTHLAND AVE,888246.1,1033343
2009,02/27/2009 10:22,81000,ARSON-1ST DEGREE/SUCCESS,4248,COTTAGE AVE,894865.7,1029224
2009,03/02/2009 19:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4969,PLOVER AVE,890194.6,1042575
2009,03/04/2009 02:30,81000,ARSON-1ST DEGREE/SUCCESS,5636,MIMIKA AVE,890369.2,1047057
2009,03/06/2009 15:33,84000,ARSON-RECKLESSLY BURNING,8506,DRURY LA,892661.4,1048693
2009,03/07/2009 16:20,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3253,TEXAS AVE,898369.7,1005794
2009,03/07/2009 22:55,83000,ARSON-KNOWINGLY BURNING/SUCCESS,1921,WHITTIER ST,895338.2,1028094
2009,03/08/2009 14:00,82000,ARSON-2ND DEGREE/SUCCESS,5375,CLAXTON AVE,893483.6,1041679
2009,03/09/2009 18:30,82000,ARSON-2ND DEGREE/SUCCESS,2106,STANSBURY ST,899188.1,1002484
2009,03/10/2009 04:30,82000,ARSON-2ND DEGREE/SUCCESS,5474,BEACON AVE,893082.1,1043257
2009,03/10/2009 20:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,2023,CHEROKEE ST,899737,1004913
2009,03/11/2009 13:40,82000,ARSON-2ND DEGREE/SUCCESS,4318,DE TONTY ST,889811.9,1013885
2009,03/12/2009 07:30,83000,ARSON-KNOWINGLY BURNING/SUCCESS,3127,GURNEY AVE,886383.5,1008952
2009,03/12/2009 14:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5756,W PARK AVE,881972.7,1016816
2009,03/14/2009 06:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,6059,HARNEY AVE,890143.3,1046457
2009,03/14/2009 06:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,6059,HARNEY AVE,890143.3,1046457
2009,03/14/2009 06:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,6059,HARNEY AVE,890143.3,1046457
2009,03/14/2009 06:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,6059,HARNEY AVE,890143.3,1046457
2009,03/14/2009 13:00,81000,ARSON-1ST DEGREE/SUCCESS,6419,HAMPTON AVE,878819.9,998201.8
2009,03/14/2009 22:02,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4715,NEWCOMB PL,890310.8,1029190
2009,03/17/2009 15:00,82000,ARSON-2ND DEGREE/SUCCESS,6051,HARNEY AVE,890208.7,1046420
2009,03/20/2009 19:25,81000,ARSON-1ST DEGREE/SUCCESS,5046,ALCOTT AVE,891775.8,1041447
2009,03/20/2009 20:00,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4640,GRAVOIS AVE,887514.8,1001191
2009,03/22/2009 03:32,83000,ARSON-KNOWINGLY BURNING/SUCCESS,4543,QUEENS AVE,892683.9,1039209
2009,03/23/2009 17:35,83000,ARSON-KNOWINGLY BURNING/SUCCESS,5942,HIGHLAND AVE,882598.2,1035738
2009,03/25/2009 17:32,83000,ARSON-KNOWINGLY BURNING/SUCCESS,209,E GRAND AVE,905031.7,1034297
2009,03/25/2009 22:40,81000,ARSON-1ST DEGREE/SUCCESS,5046,ALCOTT AVE,891775.8,1041447
2009,03/26/2009 01:34,83100,ARSON-KNOWINGLY BURNING/ATTEMPT,436,FASSEN ST,893194.2,994612.4
