GEOID,totalPop,totalPop_moe,raceTotal,raceTotal_moe,black,black_moe,black_prop,medianInc,medianInc_moe,ownTotal,ownTotal_moe,ownOcc,ownOcc_moe,ownOcc_prop,pvtyTotal,pvtyTotal_moe,pvty,pvty_moe,pvty_prop,emplyTotal,emplyTotal_moe,unemply,unemply_moe,unemply_prop
29510101100,2510,222,2510,222,176,146,0.0701195219123506,57036,7565,2510,222,2084,265,0.8302788844621514,2510,222,307,170,0.12231075697211155,2166,154,786,119,0.3628808864265928
29510101200,3545,236,3545,236,196,163,0.05528913963328632,66159,6857,3535,235,2945,252,0.8330975954738331,3545,236,183,98,0.05162200282087447,2934,226,900,145,0.3067484662576687
29510101300,4017,326,4017,326,489,329,0.12173263629574309,58387,8857,4012,326,3277,336,0.8167996011964108,4017,326,158,97,0.039332835449340305,3396,289,1051,244,0.30948174322732624
29510101400,2717,237,2717,237,896,239,0.3297754876702245,39107,7897,2717,237,1754,289,0.6455649613544351,2717,237,710,251,0.2613176297386824,2260,184,855,149,0.37831858407079644
29510101500,3633,638,3633,638,1467,453,0.4037985136251032,26683,5787,3400,548,1135,304,0.3338235294117647,3622,639,1269,488,0.3503589177250138,2880,447,1044,255,0.3625
29510101800,3249,385,3249,385,1092,307,0.3361034164358264,40819,7899,3173,381,1049,292,0.33060195398676334,3249,385,745,342,0.22930132348414897,2480,276,770,152,0.31048387096774194
29510102100,2683,228,2683,228,369,211,0.13753261274692508,45345,4186,2683,228,1180,209,0.43980618710398806,2676,225,296,132,0.11061285500747384,2314,173,554,91,0.2394122731201383
29510102200,5857,387,5857,387,74,68,0.012634454498890217,70596,10079,5853,387,4510,409,0.7705450196480438,5857,387,256,133,0.04370838313129589,5147,365,1303,197,0.2531571789391879
29510102300,2126,207,2126,207,97,83,0.045625587958607716,51650,9123,2126,207,1628,255,0.7657572906867357,2126,207,467,217,0.21966133584195674,1830,160,556,157,0.3038251366120219
29510102400,2499,180,2499,180,217,167,0.08683473389355742,45375,7675,2499,180,1569,285,0.6278511404561825,2477,173,403,174,0.1626968106580541,2095,153,457,119,0.21813842482100237
29510102500,1949,181,1949,181,90,44,0.046177526936890714,44507,6234,1949,181,1285,179,0.6593124679322729,1933,166,256,90,0.13243662700465597,1690,120,470,87,0.2781065088757396
29510103100,3098,305,3098,305,174,109,0.05616526791478373,43201,3207,3098,305,1888,286,0.6094254357650097,3098,305,276,158,0.08908973531310523,2685,285,768,208,0.2860335195530726
29510103400,1860,182,1860,182,44,36,0.023655913978494623,66509,11679,1854,182,1423,180,0.767529665587918,1860,182,89,49,0.0478494623655914,1636,171,399,87,0.2438875305623472
29510103600,1298,166,1298,166,41,30,0.031587057010785825,48929,9675,1298,166,1009,147,0.7773497688751926,1298,166,254,153,0.19568567026194145,1037,127,256,75,0.24686595949855353
29510103700,2406,215,2406,215,122,117,0.05070656691604322,50565,4959,2406,215,1711,234,0.7111388196176226,2406,215,154,75,0.06400665004156277,2096,183,468,106,0.22328244274809161
29510103800,3856,242,3856,242,300,208,0.07780082987551867,74425,4824,3847,242,3013,251,0.7832076943072525,3848,240,111,76,0.028846153846153848,3264,183,765,113,0.234375
29510104200,3292,227,3292,227,86,86,0.02612393681652491,56758,6859,3230,199,1600,279,0.4953560371517028,3230,199,399,152,0.12352941176470589,3049,226,779,163,0.25549360446047886
29510104500,1990,225,1990,225,162,125,0.0814070351758794,54286,9314,1985,225,697,192,0.35113350125944587,1989,225,278,105,0.13976872800402212,1857,198,463,134,0.24932687129779213
29510105198,3120,240,3120,240,461,208,0.14775641025641026,57222,6910,3105,239,1826,204,0.5880837359098229,3110,239,562,162,0.1807073954983923,2865,241,1020,208,0.35602094240837695
29510105200,2981,308,2981,308,1528,221,0.5125796712512579,60938,11136,2981,308,1487,195,0.4988258973498826,2977,310,319,90,0.10715485387974472,2693,270,722,150,0.26810248793167474
29510105300,2796,408,2796,408,2401,388,0.8587267525035766,23274,4634,2796,408,1134,303,0.4055793991416309,2763,400,701,244,0.25370973579442635,2078,262,749,178,0.3604427333974976
29510105400,2388,279,2388,279,1700,251,0.711892797319933,30326,8832,2348,276,437,187,0.18611584327086883,2377,278,725,226,0.3050063104753891,1760,177,486,89,0.2761363636363636
29510105500,2819,488,2819,488,2713,493,0.9623980134799575,36130,11418,2819,488,1514,390,0.5370698829372118,2809,484,793,369,0.2823068707725169,2487,413,951,199,0.3823884197828709
29510106100,1826,285,1826,285,1787,281,0.9786418400876232,18895,4162,1821,284,706,166,0.38769906644700713,1826,285,689,215,0.3773274917853231,1410,190,722,111,0.5120567375886524
29510106200,1397,310,1397,310,1372,309,0.9821045096635648,20401,3187,1345,308,381,198,0.283271375464684,1397,310,601,187,0.4302075876879026,921,191,491,141,0.5331161780673181
29510106300,1408,229,1408,229,1361,231,0.9666193181818182,28056,6299,1408,229,765,239,0.5433238636363636,1408,229,293,163,0.2080965909090909,1058,156,526,120,0.497164461247637
29510106400,1986,364,1986,364,1950,359,0.9818731117824774,22447,8735,1986,364,802,237,0.4038267875125881,1986,364,636,272,0.3202416918429003,1645,250,634,127,0.38541033434650457
29510106500,2863,515,2863,515,2682,488,0.9367796018162766,35000,10042,2391,456,1237,416,0.5173567544960268,2448,476,535,285,0.21854575163398693,2342,381,1094,215,0.4671221178479932
29510106600,1694,304,1694,304,1549,295,0.9144037780401417,18779,8294,1670,304,821,215,0.49161676646706587,1670,304,564,174,0.3377245508982036,1362,254,606,116,0.44493392070484583
29510106700,3168,428,3168,428,3159,426,0.9971590909090909,18962,8908,3163,428,1436,354,0.4539993676889029,3168,428,1451,486,0.45801767676767674,2425,273,1257,287,0.5183505154639175
29510107200,1140,225,1140,225,1134,225,0.9947368421052631,21467,6196,1140,225,400,156,0.3508771929824561,1135,223,448,238,0.3947136563876652,868,176,381,112,0.43894009216589863
29510107300,4979,429,4979,429,4845,432,0.9730869652540671,27662,3105,4979,429,2919,532,0.5862623016670014,4897,432,1421,375,0.29017765979170923,3981,333,1895,231,0.47601105249937203
29510107400,2561,354,2561,354,2480,353,0.9683717297930496,23896,3433,2530,358,1407,336,0.5561264822134387,2530,358,848,287,0.33517786561264823,2034,269,937,183,0.4606686332350049
29510107500,1991,389,1991,389,1946,398,0.9773982923154194,23333,8437,1991,389,1713,372,0.8603716725263687,1991,389,470,308,0.2360622802611753,1788,304,953,199,0.5329977628635347
29510107600,1958,265,1958,265,1897,261,0.9688457609805925,21678,4969,1950,265,1185,235,0.6076923076923076,1958,265,570,172,0.29111338100102147,1646,237,683,131,0.4149453219927096
29510108100,3309,473,3309,473,3104,437,0.938047748564521,32609,11394,3299,473,2310,570,0.7002121855107608,3278,477,1013,483,0.3090298962782184,2426,263,1144,194,0.47155812036273703
29510108200,2444,342,2444,342,2376,347,0.972176759410802,25313,7453,2275,332,1280,259,0.5626373626373626,2275,332,598,381,0.26285714285714284,2023,194,1084,190,0.5358378645575878
29510108300,2107,298,2107,298,1895,304,0.8993830090175605,35290,5139,2102,297,1305,263,0.620837297811608,2098,298,467,174,0.22259294566253573,1693,240,607,118,0.35853514471352627
29510109600,3050,454,3050,454,2962,450,0.9711475409836066,29031,11700,2995,452,1604,435,0.535559265442404,3031,456,891,424,0.29396238865061036,2372,324,1091,207,0.4599494097807757
29510109700,2306,419,2306,419,1945,437,0.8434518647007806,17034,2976,2259,403,980,227,0.43382027445772464,2297,408,1405,396,0.6116673922507618,1595,228,684,154,0.4288401253918495
29510110100,2820,321,2820,321,2714,331,0.9624113475177305,24048,7911,2808,321,1310,294,0.46652421652421655,2820,321,960,374,0.3404255319148936,2258,241,1077,197,0.4769707705934455
29510110200,2142,422,2142,422,2133,424,0.9957983193277311,26185,4795,2142,422,808,265,0.3772175536881419,2142,422,738,301,0.3445378151260504,1732,319,891,194,0.5144341801385681
29510110300,1936,360,1936,360,1889,361,0.9757231404958677,17448,6586,1936,360,824,316,0.4256198347107438,1936,360,778,275,0.4018595041322314,1635,286,670,125,0.40978593272171254
29510110400,2173,410,2173,410,2126,406,0.9783709157846295,24179,8200,2161,410,1079,291,0.4993058769088385,2173,410,715,370,0.3290381960423378,1861,318,868,249,0.4664159054271897
29510110500,1070,168,1070,168,1042,165,0.9738317757009346,19397,4352,1055,168,567,199,0.5374407582938389,1070,168,467,164,0.43644859813084114,892,124,475,96,0.5325112107623319
