year,pop,pop_delta,pop_delta_pct,total_jobs,manu_jobs,manu_delta,manu_delta_pct,manu_delta5,manu_delta_pct5
1969,NA,NA,NA,457473,124033,NA,NA,NA,NA
1970,NA,NA,NA,447850,116500,-7533,-6.073383696274378,NA,NA
1971,NA,NA,NA,437354,112937,-3563,-3.058369098712446,NA,NA
1972,NA,NA,NA,435709,112019,-918,-0.8128425582404348,NA,NA
1973,NA,NA,NA,440854,113578,1559,1.391728188967943,NA,NA
1974,NA,NA,NA,434972,107782,-5796,-5.103100952649281,-16251,-13.102158296582362
1975,NA,NA,NA,414542,96583,-11199,-10.390417694976897,-19917,-17.096137339055794
1976,NA,NA,NA,412621,95169,-1414,-1.464025760226955,-17768,-15.732665114178701
1977,NA,NA,NA,416158,96909,1740,1.8283264508400847,-15110,-13.488783152857998
1978,NA,NA,NA,421880,98057,1148,1.1846164958878949,-15521,-13.665498600081003
1979,505451,NA,NA,425223,96974,-1083,-1.1044596510193052,-10808,-10.027648401402832
1980,450790,-54661,-10.814302474423831,412112,89308,-7666,-7.905211706230536,-7275,-7.5323814750007765
1981,454166,3376,0.7489074735464407,381294,78598,-10710,-11.992206745196398,-16571,-17.41218253843163
1982,455362,1196,0.26333983609517225,350766,70296,-8302,-10.562609735616682,-26613,-27.46184564901093
1983,457262,1900,0.41725045128930394,338102,64934,-5362,-7.627745533174007,-33123,-33.779332429097366
1984,442528,-14734,-3.2222227082066732,344448,65247,313,0.48202790525764627,-31727,-32.717016932373625
1985,431109,-11419,-2.5804016920963195,336315,62312,-2935,-4.49829110916977,-26996,-30.227975097415683
1986,434298,3189,0.7397201171861408,340452,60649,-1663,-2.6688278341250484,-17949,-22.83645894297565
1987,429414,-4884,-1.1245734495668873,329980,52718,-7931,-13.076885026958399,-17578,-25.005690224194833
1988,425187,-4227,-0.9843647389232768,319870,49703,-3015,-5.719109222656398,-15231,-23.45612468044476
1989,405066,-20121,-4.732270742049969,320363,49097,-606,-1.2192422992575902,-16150,-24.752095881802994
1990,396685,-8381,-2.0690455382579627,318691,48618,-479,-0.9756196916308533,-13694,-21.976505328026704
1991,399858,3173,0.7998789971892055,309102,46456,-2162,-4.446912666090749,-14193,-23.401869775264224
1992,402573,2715,0.678991041819846,304524,44921,-1535,-3.304201825383158,-7797,-14.790014795705453
1993,387053,-15520,-3.855201416885882,309151,44766,-155,-0.3450501992386634,-4937,-9.933002032070497
1994,390437,3384,0.8742988686303943,310553,44493,-273,-0.6098378233480767,-4604,-9.377355031875673
1995,371425,-19012,-4.869415552317019,307662,42871,-1622,-3.645517272379925,-5747,-11.820724834423464
1996,374041,2616,0.7043144645621592,302794,40721,-2150,-5.015045135406218,-5735,-12.345014637506457
1997,377221,3180,0.8501741787664989,299159,39665,-1056,-2.5932565506740994,-5256,-11.700540949667193
1998,344153,-33068,-8.766213970059992,297173,39105,-560,-1.4118240262195891,-5661,-12.645757941294733
1999,340836,-3317,-0.9638155122866865,292397,36513,-2592,-6.628308400460299,-7980,-17.935405569415412
2000,341708,872,0.2558415190883592,293357,35430,-1083,-2.9660668802892123,-7441,-17.35672132677101
2001,350336,8628,2.5249628337645005,289806,28742,-6688,-18.876658199266156,-11979,-29.417253996709313
2002,353004,2668,0.7615546218487395,284142,27649,-1093,-3.8027973001182938,-12016,-30.29370981974033
2003,340256,-12748,-3.611290523620129,278596,26369,-1280,-4.62946218669753,-12736,-32.56872522695308
2004,335143,-5113,-1.5026920906611494,275262,25010,-1359,-5.153779058743221,-11503,-31.50384794456769
2005,346005,10862,3.2410045861020516,276267,24654,-356,-1.4234306277489004,-10776,-30.414902624894157
2006,346879,874,0.2525975058163899,277562,24319,-335,-1.358805873286282,-4423,-15.388629879618676
2007,348197,1318,0.3799595824480583,278971,23864,-455,-1.870965089025042,-3785,-13.68946435675793
2008,356204,8007,2.299560306378286,278489,22994,-870,-3.6456587328193097,-3375,-12.799120178998066
2009,355208,-996,-0.279615052048826,268306,20692,-2302,-10.011307297555884,-4318,-17.265093962415033
2010,355151,-57,-0.016046935879822526,267342,19759,-933,-4.508988981248792,-4895,-19.854790297720452
2011,320454,-34697,-9.769647276792124,268571,20030,271,1.3715268991345717,-4289,-17.63641597105144
2012,318667,-1787,-0.5576463392561802,270092,20910,880,4.393409885172242,-2954,-12.378478042239356
2013,318563,-104,-0.03263594912557623,276705,18217,-2693,-12.879005260640842,-4777,-20.774984778637908
2014,318574,11,0.003453006155768247,277305,18220,3,0.016468134160399626,-2472,-11.946646046781364
2015,317095,-1479,-0.46425634232548796,280923,18426,206,1.1306256860592756,-1333,-6.746292828584442
2016,314507,-2588,-0.8161591951938694,282484,17656,-770,-4.178877672853576,-2374,-11.852221667498753
2017,310284,-4223,-1.3427364096824554,285447,16901,-755,-4.27616674218396,-4009,-19.172644667623146
2018,306875,-3409,-1.0986708950509856,290777,18530,1629,9.638482930004141,313,1.7181753307350278
