cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2013,01/01/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4315,WASHINGTON AVE,891912.9,1024663
2013,01/01/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6000,N BROADWAY,901020,1038061
2013,01/01/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5443,BEACON AVE,892655.8,1043070
2013,01/01/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4415,MARCUS AVE,895048.2,1037045
2013,01/01/2013 00:18,152200,WEAPONS-CITY VIOL/DISCHRGING IN CITY,6747,HOFFMAN AVE,876018,1010915
2013,01/01/2013 00:24,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4466,WEST PINE BLVD,889566.1,1022107
2013,01/01/2013 00:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,HILL ST / S BROADWAY,894926.2,995158.1
2013,01/01/2013 00:36,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4533,ARLINGTON AVE,890790.9,1040186
2013,01/01/2013 01:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5865,PLYMOUTH AVE,881051.6,1031058
2013,01/01/2013 01:50,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4126,BINGHAM AVE,888555.9,1002811
2013,01/01/2013 02:00,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,6017,WATERMAN BLVD,878761.3,1025826
2013,01/01/2013 02:15,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3748,SHREVE AVE,893136.9,1034688
2013,01/01/2013 03:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5919,MINNESOTA AVE,892683.7,993062.5
2013,01/01/2013 03:12,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3219,BLAIR AVE,906324.1,1027781
2013,01/01/2013 04:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2906,SAMUEL SHEPARD DR,900393.5,1020980
2013,01/01/2013 07:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1610,OLIVE ST,904990.8,1018745
2013,01/01/2013 13:23,182130,DRUGS-POSSESSION/HEROIN,3518,OSAGE ST,893499.6,1001872
2013,01/01/2013 14:24,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4635,RIDGEWOOD AVE,885236.3,1001889
2013,01/01/2013 14:54,182130,DRUGS-POSSESSION/HEROIN,4000,GILES AVE,892365.6,1002201
2013,01/01/2013 15:30,182400,DRUGS-POSSESSION/MARIJUANA,5730,CABANNE AVE,881500.1,1028670
2013,01/01/2013 16:23,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6828,OAKLAND AVE,876315.5,1019152
2013,01/01/2013 18:06,242000,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,6369,SUTHERLAND AVE,877455.1,1004273
2013,01/01/2013 18:32,182130,DRUGS-POSSESSION/HEROIN,3700,UNION BLVD,889231.6,1036274
2013,01/01/2013 19:57,182130,DRUGS-POSSESSION/HEROIN,4542,UNION BLVD,891659.2,1039778
2013,01/01/2013 20:10,182130,DRUGS-POSSESSION/HEROIN,3443,UNION BLVD,888919.5,1035716
2013,01/01/2013 20:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6838,MAGNOLIA AVE,875400.5,1012405
2013,01/01/2013 20:35,182250,DRUGS-POSSESSION/COCAINE,501,BATES ST,892794.3,994442.1
2013,01/01/2013 21:00,182400,DRUGS-POSSESSION/MARIJUANA,3710,N MARKET ST,898518,1026419
2013,01/01/2013 21:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2807,S JEFFERSON AVE,899123.9,1008510
2013,01/01/2013 22:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3666,SHAW AVE,893892,1012896
2013,01/02/2013 01:05,182250,DRUGS-POSSESSION/COCAINE,2909,N 22ND ST,904450.1,1026806
2013,01/02/2013 07:15,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,S 4TH ST / SPRUCE ST,908773.8,1015571
2013,01/02/2013 08:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1401,LASALLE LN,904318.4,1014165
2013,01/02/2013 08:10,182400,DRUGS-POSSESSION/MARIJUANA,200,S TUCKER BLVD,906343.9,1016785
2013,01/02/2013 10:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6432,PENNSYLVANIA AVE,891884.3,991405.3
2013,01/02/2013 10:01,182400,DRUGS-POSSESSION/MARIJUANA,4238,N EUCLID AVE,893183,1037044
2013,01/02/2013 12:48,182999,DRUGS-POSSESSION/OTHR UNSPEC DRUG,4627,CARTER AVE,895279.6,1036790
2013,01/02/2013 13:04,182400,DRUGS-POSSESSION/MARIJUANA,2900,CALIFORNIA AVE,897943.1,1008171
2013,01/02/2013 13:30,182400,DRUGS-POSSESSION/MARIJUANA,0,SCOTT AVE / S TAYLOR,888832,1020129
2013,01/02/2013 14:23,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5370,NORTHLAND AVE,886934,1033670
