cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2013,01/01/2013 00:01,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,100,NA,0,0
2013,1/1/2013 0:01,21000,RAPE -- FORCIBLE,3800,INDIANA AVE,898638.9,1001993
2013,1/1/2013 0:01,21000,RAPE -- FORCIBLE,5100,MINNESOTA AVE,894096.1,995399.6
2013,01/01/2013 00:01,21000,RAPE -- FORCIBLE,3800,CARONDELET BLVD,0,0
2013,01/01/2013 00:01,21000,RAPE -- FORCIBLE,5300,CABANNE AVE,884651.4,1028546
2013,01/01/2013 00:01,21000,RAPE -- FORCIBLE,5300,CABANNE AVE,884651.4,1028546
2013,01/01/2013 00:04,21000,RAPE -- FORCIBLE,600,N EUCLID AVE,888580.9,1025734
2013,01/01/2013 00:30,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,UNKNOWN,0,0
2013,01/01/2013 01:00,41011,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6105,ETZEL AVE,879425.1,1031441
2013,01/01/2013 01:10,44015,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,5823,WILSON AVE,881554.4,1013910
2013,01/01/2013 01:12,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4430,UNION BLVD,891299.6,1039195
2013,01/01/2013 02:00,21000,RAPE -- FORCIBLE,3200,OLIVE ST,898562.5,1020558
2013,01/01/2013 02:30,21000,RAPE -- FORCIBLE,1100,N 16TH ST,905842.6,1021167
2013,01/01/2013 02:45,42021,AGG.ASSAULT-KNIFE/CITIZEN CHILD 1ST DEGREE,4316,WYOMING ST,888103.5,1007613
2013,01/01/2013 07:25,42014,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,3800,ILLINOIS AVE,899284.4,1002254
2013,01/01/2013 10:35,21000,RAPE -- FORCIBLE,5800,SELBER CT,0,0
2013,01/01/2013 12:00,21000,RAPE -- FORCIBLE,6000,HORTON PL,879713.3,1030252
2013,01/01/2013 12:50,43015,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,1341,N KINGSHIGHWAY BLVD,888196.6,1029551
2013,01/01/2013 12:50,43012,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,1341,N KINGSHIGHWAY BLVD,888196.6,1029551
