"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"29510","St. Louis (Independent City), MO","","Employment by place of work","","","","","","","","","","","","","","","","","",""
"29510","St. Louis (Independent City), MO","10","Total employment (number of jobs)",289806,284142,278596,275262,276267,277562,278971,278489,268306,267342,268571,270092,276705,277305,280923,282484,285447,290777
"29510","St. Louis (Independent City), MO","","By type","","","","","","","","","","","","","","","","","",""
"29510","St. Louis (Independent City), MO","20","  Wage and salary employment",272049,265507,258607,253934,253827,253595,252752,251581,239560,236719,235586,238005,244597,244644,247853,247855,249072,253229
"29510","St. Louis (Independent City), MO","40","  Proprietors employment",17757,18635,19989,21328,22440,23967,26219,26908,28746,30623,32985,32087,32108,32661,33070,34629,36375,37548
"29510","St. Louis (Independent City), MO","50","    Farm proprietors employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","St. Louis (Independent City), MO","60","    Nonfarm proprietors employment 2/",17757,18635,19989,21328,22440,23967,26219,26908,28746,30623,32985,32087,32108,32661,33070,34629,36375,37548
"29510","St. Louis (Independent City), MO","","By industry","","","","","","","","","","","","","","","","","",""
"29510","St. Louis (Independent City), MO","70","  Farm employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29510","St. Louis (Independent City), MO","80","  Nonfarm employment",289806,284142,278596,275262,276267,277562,278971,278489,268306,267342,268571,270092,276705,277305,280923,282484,285447,290777
"29510","St. Louis (Independent City), MO","90","    Private nonfarm employment",243600,238378,234402,232728,234231,236382,239271,239427,228273,228280,230709,232809,239858,240655,244455,246392,249574,255459
"29510","St. Louis (Independent City), MO","100","      Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29510","St. Louis (Independent City), MO","200","      Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",40,46,96,"(D)","(D)","(D)","(D)"
"29510","St. Louis (Independent City), MO","300","      Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29510","St. Louis (Independent City), MO","400","      Construction","(D)","(D)",8740,9570,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"29510","St. Louis (Independent City), MO","500","      Manufacturing",28742,27649,26369,25010,24654,24319,23864,22994,20692,19759,20030,20910,18217,18220,18426,17656,16901,18530
