"CAEMP25S Total Full-Time and Part-Time Employment by SIC Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","Employment by place of work","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","10","Total employment (number of jobs)",1128668,1119503,1108632,1120309,1155750,1165071,1144591,1174761,1208780,1251667,1285355,1260871,1257134,1247588,1260590,1314730,1347519,1385583,1403758,1427738,1452169,1464298,1442695,1439015,1468529,1496005,1529685,1555249,1579818,1603406,1620760,1642704
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","By type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","20","  Wage and salary employment",1007501,998665,985528,992255,1020173,1026250,1001003,1025165,1055441,1098973,1127425,1095406,1095223,1078025,1086810,1138804,1165390,1198047,1222947,1247139,1272655,1277386,1250894,1254321,1276983,1304765,1329732,1350369,1373351,1388330,1403995,1417215
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","40","  Proprietors employment",121167,120838,123104,128054,135577,138821,143588,149596,153339,152694,157930,165465,161911,169563,173780,175926,182129,187536,180811,180599,179514,186912,191801,184694,191546,191240,199953,204880,206467,215076,216765,225489
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","50","    Farm proprietors employment",16302,16356,16420,16487,16638,16718,16731,16631,16646,16601,16424,16333,16363,16085,16589,15778,15261,14724,14173,13792,13632,13183,12926,12804,12845,12545,12448,12072,12033,12313,12320,12327
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","60","    Nonfarm proprietors employment 2/",104865,104482,106684,111567,118939,122103,126857,132965,136693,136093,141506,149132,145548,153478,157191,160148,166868,172812,166638,166807,165882,173729,178875,171890,178701,178695,187505,192808,194434,202763,204445,213162
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","By industry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","70","    Farm employment",20066,20213,20320,20314,20740,21151,21658,22195,21998,22216,22095,21276,20980,20302,21157,19892,18960,18788,17918,17131,16896,16231,15738,15528,15464,15123,15006,14642,14636,14634,14726,14976
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","80","    Nonfarm employment",1108602,1099290,1088312,1099995,1135010,1143920,1122933,1152566,1186782,1229451,1263260,1239595,1236154,1227286,1239433,1294838,1328559,1366795,1385840,1410607,1435273,1448067,1426957,1423487,1453065,1480882,1514679,1540607,1565182,1588772,1606034,1627728
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","90","      Private nonfarm employment",954914,941685,932229,942843,975990,983919,960207,991344,1023421,1063300,1095490,1073178,1072367,1066053,1076361,1132810,1162545,1200471,1217999,1241139,1264129,1274556,1253970,1249994,1277909,1305012,1337309,1358785,1382751,1407457,1422617,1442161
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","100","        Agricultural services, forestry, and fishing",2740,2955,2839,2881,3023,3101,3422,3760,4146,4752,5265,5353,5239,"5,223 E","5,590 E",6236,"6,672 E","7,120 E",8524,8345,8312,9014,"(D)","9,186 E","9,990 E","10,282 E","9,645 E","10,614 E","11,572 E","11,222 E","11,711 E","11,915 E"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","200","        Mining","3,005 E","3,053 E","3,250 E","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7216,6576,"6,894 E",7137,"6,444 E","7,018 E",6134,"6,054 E","5,435 E","(D)","5,193 E","4,317 E","4,501 E","(D)","(D)","3,370 E","3,114 E","(D)","(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","300","        Construction",52039,50427,48567,45996,49451,49020,49498,48826,50586,57055,62739,59011,59845,58517,59526,67859,71493,74898,75253,76186,75689,73357,68381,69000,72439,79271,"79,494 E",81261,84922,87170,"92,638 E","96,706 E"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","400","        Manufacturing",291807,276551,264044,265228,274101,268829,243007,252551,259226,267856,268436,249983,238237,"223,324 E","219,595 E","233,529 E",234082,234830,230967,235171,"236,660 E","231,608 E",217800,210944,206692,205939,209895,207119,204045,"203,256 E","197,558 E",190269
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","500","        Transportation and public utilities",73597,73389,71973,72098,72836,73628,70552,71039,72935,76585,79779,79557,79757,78280,77993,80734,79765,80516,79929,81781,84440,87166,86924,83760,86006,87610,88247,90485,93192,94636,98516,103775
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","610","        Wholesale trade",63123,65175,65939,65309,65402,66123,64447,67152,70198,72304,74473,74899,75426,"72,595 E","68,049 E","70,732 E","71,627 E","68,716 E","74,491 E",75980,77292,"75,825 E","74,347 E","74,689 E","73,335 E","74,783 E","76,375 E",77197,78033,79468,79629,80081
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","620","        Retail trade",168766,169025,171068,173688,178850,184810,183312,188055,192583,198602,202485,195329,200768,202600,206290,214091,221873,231489,239393,242166,248230,246461,243544,244050,249008,256351,262710,268487,270418,271068,274508,275482
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","700","        Finance, insurance, and real estate",79775,78344,79487,79709,85753,85916,88461,89982,93897,95731,97446,97429,96167,96603,96466,98459,101731,108667,114745,115939,114572,117500,113349,108686,111862,113195,117690,121776,125690,131723,132025,137501
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","800","        Services","217,683 E","220,284 E","222,232 E","231,409 E","240,178 E","246,018 E","250,952 E","262,507 E","271,842 E","281,954 E","295,121 E","301,566 E","306,709 E",321583,336158,354186,368079,387555,387614,399437,412825,428114,434919,444290,464011,472849,487557,497816,511352,524814,531078,"536,651 E"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","900","      Government and government enterprises",153688,157605,156083,157152,159020,160001,162726,161222,163361,166151,167770,166417,163787,161233,163072,162028,166014,166324,167841,169468,171144,173511,172987,173493,175156,175870,177370,181822,182431,181315,183417,185567
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","910","        Federal civilian",42110,41076,38818,37037,36654,36582,36600,35636,35762,36757,36569,37251,35909,36121,37306,37583,38048,37840,37897,37387,37490,37478,36401,36332,35277,34356,33683,33852,32791,31080,30588,31695
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","920","        Military",19087,20612,17632,17275,16597,16337,16730,15478,15783,16371,16327,17735,18358,18576,18804,19583,20973,21404,22040,21788,21586,21359,20790,20193,19852,18697,19124,18872,18280,17100,17437,15794
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","930","        State and local",92491,95917,99633,102840,105769,107082,109396,110108,111816,113023,114874,111431,109520,106536,106962,104862,106993,107080,107904,110293,112068,114674,115796,116968,120027,122817,124563,129098,131360,133135,135392,138078
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","931","          State government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",18067,18264,18159,17970,18289,18551,19094,19928,20201,20504,21124,21691,21799,21496,21898,22488,22748,22793,22881,22724,"(D)","(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","932","          Local government","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",96807,93167,91361,88566,88673,86311,87899,87152,87703,89789,90944,92983,93997,95472,98129,100329,101815,106305,108479,110411,"(D)","(D)"
"Legend / Footnotes:"
"1/ The estimates of employment for 1969-74 based on 1967 Standard Industrial Classification (SIC). The estimates for 1975-87 are based on the 1972 SIC. The estimates for 1988-2000 are based on the 1987 SIC."
"2/ Excludes limited partners."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018."
"E The estimate shown here constitutes the major portion of the true estimate."
"(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals."
"(NA) Not available."
"Last updated: November 14, 2019-- revised statistics for 1969-2000."
