"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","Employment by place of work","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","10","Total employment (number of jobs)",1641921,1638359,1641157,1648824,1669564,1690675,1714159,1714077,1660457,1644561,1664110,1667792,1686296,1702969,1733403,1755755,1776914,1797783
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","By type","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","20","  Wage and salary employment",1414269,1404549,1395719,1391526,1400469,1412892,1417757,1415849,1355002,1337955,1344349,1352434,1367829,1383927,1407011,1424665,1438756,1450113
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","40","  Proprietors employment",227652,233810,245438,257298,269095,277783,296402,298228,305455,306606,319761,315358,318467,319042,326392,331090,338158,347670
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","50","    Farm proprietors employment",12036,10983,10454,10165,10020,9776,10107,10015,9885,9819,9723,9500,9600,9513,9463,9369,9286,9220
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","60","    Nonfarm proprietors employment 2/",215616,222827,234984,247133,259075,268007,286295,288213,295570,296787,310038,305858,308867,309529,316929,321721,328872,338450
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","","By industry","","","","","","","","","","","","","","","","","",""
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","70","  Farm employment",14775,13361,12928,12255,12394,12183,12412,12182,11865,11992,11781,11427,11226,10965,11350,11228,10904,10952
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","80","  Nonfarm employment",1627146,1624998,1628229,1636569,1657170,1678492,1701747,1701895,1648592,1632569,1652329,1656365,1675070,1692004,1722053,1744527,1766010,1786831
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","90","    Private nonfarm employment",1441081,1436997,1441295,1450348,1471098,1492488,1515120,1512248,1455819,1442922,1466460,1472797,1492533,1509516,1541993,1564981,1586428,1607760
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","100","      Forestry, fishing, and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2075,2124,2015,2089,2097,2278
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","200","      Mining, quarrying, and oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3147
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","300","      Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5062,"(D)",5034,5000,5022,"(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","400","      Construction","92,139 E","90,564 E","100,968 E","103,936 E","96,552 E","98,308 E","98,205 E","94,869 E","(D)","75,413 E","74,185 E","73,274 E","(D)","(D)","(D)","(D)","(D)","(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","500","      Manufacturing","164,220 E","155,129 E","147,148 E","145,709 E","143,072 E","140,088 E","136,835 E",131574,"115,803 E","108,557 E","112,023 E",112647,115931,117574,119476,119621,120038,"(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","600","      Wholesale trade",66403,"64,511 E","64,251 E","66,604 E","67,221 E","67,801 E","69,249 E","68,369 E","65,528 E","64,280 E","65,231 E","64,857 E",65572,"(D)",68910,67103,69372,"(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","700","      Retail trade",172717,175768,177340,175219,177515,176392,177687,173773,167186,163676,166516,166535,167196,168982,173616,173862,174360,172956
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","800","      Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",55595,56339,59735,61777,69504,77403
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","900","      Information","35,922 E","33,283 E","32,871 E",33405,33476,34393,"34,266 E","(D)","33,741 E","34,117 E","(D)","32,052 E",32259,32002,"(D)","(D)","(D)","(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1000","      Finance and insurance",78714,79172,"81,420 E","80,009 E",81119,82565,87009,91037,"96,560 E","95,838 E","101,662 E","102,055 E","(D)",99809,"(D)","(D)",104798,107411
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1100","      Real estate and rental and leasing",53366,"54,796 E","58,921 E","63,768 E",68102,69760,72400,72343,"69,840 E","71,741 E","73,032 E","71,252 E","(D)",73584,"(D)","(D)",77901,79640
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1200","      Professional, scientific, and technical services","99,952 E","98,379 E","99,311 E","99,697 E","102,780 E","106,281 E","109,644 E","111,082 E","107,047 E","105,042 E","105,332 E","105,218 E",106019,107795,113102,115815,118996,119501
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1300","      Management of companies and enterprises","51,067 E","49,817 E","47,954 E","45,271 E","45,794 E","46,900 E","44,939 E","44,905 E","39,476 E","39,565 E","39,999 E","39,180 E",41987,44033,43666,44055,43554,44238
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1400","      Administrative and support and waste management and remediation services","88,326 E","85,978 E","87,122 E","89,187 E","91,218 E","94,134 E","99,521 E","100,224 E","93,860 E","97,851 E","100,717 E","99,722 E",105618,107496,105988,108637,108888,110526
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1500","      Educational services","40,800 E","42,518 E","43,331 E","43,373 E","44,869 E","46,495 E","44,351 E","45,980 E","47,551 E","48,274 E","49,330 E","51,307 E",53420,"(D)",55088,55327,56503,56472
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1600","      Health care and social assistance","169,169 E","176,368 E","179,551 E","181,978 E","186,244 E","189,642 E","195,672 E","198,114 E","199,020 E","202,037 E","206,711 E","212,113 E",217381,216683,224782,230353,234667,236165
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1700","      Arts, entertainment, and recreation","34,983 E","35,891 E","36,045 E","37,046 E","37,797 E","38,366 E",39514,40362,39581,40624,40185,40459,40570,41333,38658,39564,"(D)","38,800 E"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1800","      Accommodation and food services","112,227 E","112,083 E","114,156 E","117,149 E",119939,122756,123713,121878,120136,119224,119031,120468,123306,126001,132076,133662,137004,138553
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","1900","      Other services (except government and government enterprises)","92,055 E","93,624 E","95,209 E","96,218 E","95,866 E","96,873 E","97,769 E","97,348 E","96,457 E","96,248 E","(D)",99042,100094,100824,"(D)",100985,"(D)","(D)"
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2000","    Government and government enterprises",186065,188001,186934,186221,186072,186004,186627,189647,192773,189647,185869,183568,182537,182488,180060,179546,179582,179071
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2001","      Federal civilian",29944,30966,30641,30059,29912,29835,29331,29576,30815,31214,29974,29145,28605,28292,28266,28480,28586,28396
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2002","      Military",16060,16125,16183,16325,15055,15310,15815,15515,15503,14347,14071,13989,14029,13748,13315,13392,13428,13358
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2010","      State and local",140061,140910,140110,139837,141105,140859,141481,144556,146455,144086,141824,140434,139903,140448,138479,137674,137568,137317
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2011","        State government","(D)","(D)","(D)","21,310 E","21,240 E","20,560 E","20,208 E","20,302 E","20,161 E","19,817 E","19,526 E","19,378 E",20887,20851,20405,20161,20372,20024
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)","2012","        Local government","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",119016,119597,118074,117513,117196,117293
"Legend / Footnotes:"
"1/ The estimates of employment for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS."
"2/ Excludes limited partners."
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018."
"E The estimate shown here constitutes the major portion of the true estimate."
"(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals."
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 2001-2017."
